City,Yellow,,Orange,,Red,
,Start_Time,End_Time,Start_Time,End_Time,Start_Time,End_Time
,17/10/2019,19/10/2019,01/03/2019,04/03/2019,,
,20/11/2019,23/11/2019,01/10/2019,02/10/2019,,
,29/11/2019,30/11/2019,20/10/2019,23/10/2019,,
,,,31/10/2019,09/11/2019,,
,,,14/11/2019,16/11/2019,,
,,,05/12/2019,09/12/2019,,
,,,12/12/2019,16/12/2019,,
,,,20/12/2019,22/12/2019,,
,,,26/12/2019,31/12/2019,,
,,,04/01/2020,07/01/2020,,
,,,13/01/2020,15/01/2020,,
,,,18/01/2020,31/01/2020,,
,,,16/11/2020,17/11/2020,,
,,,25/11/2020,30/12/2020,,
,,,19/01/2021,26/01/2021,,
,,,19/01/2022,29/01/2022,,
Datong,18/10/2019,23/10/2019,01/10/2019,02/10/2019,09/01/2020,13/01/2020
,03/01/2020,04/01/2020,05/01/2020,08/01/2020,,
,,,14/01/2020,31/01/2020,,
,,,04/11/2021,06/11/2021,,
Yangquan,02/11/2018,05/11/2018,15/11/2018,16/11/2018,07/01/2019,14/01/2019
,12/11/2018,14/11/2018,22/11/2018,06/12/2018,,
,10/10/2019,10/10/2019,08/12/2018,21/12/2018,,
,20/11/2019,21/11/2019,01/01/2019,06/01/2019,,
,,,17/01/2019,20/01/2019,,
,,,23/01/2019,01/02/2019,,
,,,12/02/2019,31/03/2019,,
,,,01/10/2019,02/10/2019,,
,,,11/10/2019,14/10/2019,,
,,,17/10/2019,23/10/2019,,
,,,31/10/2019,10/11/2019,,
,,,22/11/2019,25/11/2019,,
,,,05/12/2019,10/12/2019,,
,,,13/12/2019,16/12/2019,,
,,,20/12/2019,24/02/2020,,
,,,14/11/2020,18/11/2020,,
,,,25/11/2020,30/12/2020,,
,,,20/01/2021,26/01/2021,,
,,,11/03/2021,18/03/2021,,
,,,27/01/2022,29/01/2022,,
Changzhi,11/10/2019,14/10/2019,30/11/2018,04/12/2018,08/01/2019,15/01/2019
,18/10/2019,23/10/2019,09/12/2018,12/12/2018,,
,20/11/2019,24/11/2019,04/01/2019,07/01/2019,,
,05/12/2019,07/12/2019,17/01/2019,21/01/2019,,
,03/01/2020,04/01/2020,28/01/2019,31/01/2019,,
